title,lat,lng
สถานีดับเพลิงพญาไท,13.76062105,100.5257799
สถานีดับเพลิงดุสิต,13.7820349,100.5302676
สถานีดับเพลิงภูเขาทอง,13.75442239,100.506067
สถานีดับเพลิงสามเสน,13.78183239,100.5057803
สถานีดับเพลิงสวนมะลิ,13.74807583,100.5110461
สถานีดับเพลิงห้วยขวาง,13.77705927,100.5703424
สถานีดับเพลิงสุทธิสาร,13.78903508,100.5620292
สถานีดับเพลิงบางกะปิ,13.74974146,100.5928554
สถานีดับเพลิงพหลโยธิน,13.78087458,100.5463024
สถานีดับเพลิงพระโขนง,13.70822656,100.6000068
สถานีดับเพลิงสุขุมวิท,13.70081186,100.6262949
สถานีดับเพลิงบางนา,13.689336,100.59243
สถานีดับเพลิงทุ่งมหาเมฆ,13.71306458,100.5450797
สถานีดับเพลิงถนนจันทน์,13.70533292,100.5331613
สถานีดับเพลิงคลองเตย,13.72443563,100.5647276
สถานีดับเพลิงบรรทัดทอง,13.73630781,100.5246876
สถานีดับเพลิงบ่อนไก่,13.72623921,100.5489507
สถานีดับเพลิงยานนาวา,13.71492364,100.5136241
สถานีดับเพลิงบางรัก,13.72499458,100.5138112
สถานีดับเพลิงลาดยาว,13.8360649,100.5563839
สถานีดับเพลิงดอนเมือง,13.915126,100.566747
สถานีดับเพลิงบางโพ,13.80371656,100.5214876
สถานีดับเพลิงบางซ่อน,13.82874603,100.528559
สถานีดับเพลิงบางเขน,13.87161417,100.5947668
สถานีดับเพลิงสายไหม,13.895253,100.66047
สถานีดับเพลิงลาดพร้าว,13.80322933,100.5792168
สถานีดับเพลิงบางชัน,13.80312875,100.7086881
สถานีดับเพลิงลาดกระบัง,13.71876,100.7912083
สถานีดับเพลิงหนองจอก,13.855937,100.866047
สถานีดับเพลิงร่มเกล้า,13.773331,100.738204
สถานีดับเพลิงหัวหมาก,13.76049344,100.6274461
สถานีดับเพลิงประเวศ,13.720795,100.689484
สถานีดับเพลิงเฉลิมพระเกียรติ,13.6801194,100.6624906
สถานีดับเพลิงดาวคะนอง,13.69916073,100.4665617
สถานีดับเพลิงจอมทอง,13.677632,100.484249
สถานีดับเพลิงปากคลองสาน,13.72949802,100.5088192
สถานีดับเพลิงตลาดพลู,13.72223895,100.4784412
สถานีดับเพลิงธนบุรี,13.72712292,100.4866354
สถานีดับเพลิงบวรมงคล,13.77371239,100.4967146
สถานีดับเพลิงบางขุนนนท์,13.77019525,100.4713491
สถานีดับเพลิงบางอ้อ,13.80291729,100.5119683
สถานีดับเพลิงตลิ่งชัน,13.81772399,100.3194931
สถานีดับเพลิงทวีวัฒนา,13.773447,100.353192
สถานีดับเพลิงบางแค,13.71122583,100.4163303
สถานีดับเพลิงบางขุนเทียน,13.64476458,100.4223061
สถานีดับเพลิงทุ่งครุ,13.61117531,100.5083456
สถานีดับเพลิงหนองแขม,13.72207642,100.36383
สถานีดับเพลิงและกู้ภัยราษฎร์บูรณะ,13.68135,100.505869
ฝ่ายปฏิบัติการพิเศษและกู้ภัยทางน้ำ,13.78183239,100.5057803
